list-none-m,1,1000,1,3000,4017750,1339,37
list-none-s,1,1000,1,3000,4270605,1423,33
list-none-m,2,1000,1,6000,27096145,4516,6716
list-none-s,2,1000,1,6000,29698276,4949,6723
list-none-m,4,1000,1,12000,109720252,9143,40131
list-none-s,4,1000,1,12000,123170529,10264,45284
list-none-m,8,1000,1,24000,497000617,20708,213461
list-none-s,8,1000,1,24000,384990053,16041,140300
list-none-m,12,1000,1,36000,1229045968,34140,525662
list-none-s,12,1000,1,36000,896968223,24915,330113
list-none-m,16,1000,1,48000,2105994455,43874,877296
list-none-s,16,1000,1,48000,2349356839,48944,1025189
list-none-m,24,1000,1,72000,5271914776,73221,2272733
list-none-s,24,1000,1,72000,6190862107,85984,2807959
list-id-none,1,1,4,3,169377,56459,0
list-id-none,1,2,4,6,93516,15586,0
list-id-none,1,4,4,12,175522,14626,0
list-id-none,1,8,4,24,174665,7277,0
list-id-none,1,16,4,48,196092,4085,0
list-id-none,4,1,4,12,178303,14858,0
list-id-none,4,2,4,24,137545,5731,0
list-id-none,4,4,4,48,183758,3828,0
list-id-none,8,1,4,24,276219,11509,0
list-id-none,12,1,4,36,353406,9816,0
list-id-none,12,2,4,72,349147,4849,0
list-id-none,16,1,4,48,691826,14413,0
list-id-none,16,2,4,96,571901,5957,0
list-id-s,1,10,4,30,172421,5747,42
list-id-m,1,10,4,30,182220,6074,139
list-id-s,1,20,4,60,202789,3379,40
list-id-m,1,20,4,60,200608,3343,81
list-id-s,1,40,4,120,246246,2052,34
list-id-m,1,40,4,120,241548,2012,57
list-id-s,1,80,4,240,345156,1438,32
list-id-m,1,80,4,240,242437,1010,43
list-id-s,4,10,4,120,220249,1835,1210
list-id-m,4,10,4,120,227419,1895,2553
list-id-s,4,20,4,240,310130,1292,1494
list-id-m,4,20,4,240,357636,1490,2244
list-id-s,4,40,4,480,494772,1030,1504
list-id-m,4,40,4,480,575786,1199,2159
list-id-s,4,80,4,960,937035,976,1927
list-id-m,4,80,4,960,1114299,1160,2866
list-id-s,8,10,4,240,343699,1432,1183
list-id-m,8,10,4,240,452705,1886,4297
list-id-s,8,20,4,480,411657,857,2977
list-id-m,8,20,4,480,625397,1302,5064
list-id-s,8,40,4,960,870539,906,4751
list-id-m,8,40,4,960,1043140,1086,5492
list-id-s,8,80,4,1920,1895988,987,6478
list-id-m,8,80,4,1920,2366092,1232,8321
list-id-s,12,10,4,360,458640,1274,1391
list-id-m,12,10,4,360,563624,1565,6520
list-id-s,12,20,4,720,598346,831,4627
list-id-m,12,20,4,720,856357,1189,7222
list-id-s,12,40,4,1440,1302919,904,8010
list-id-m,12,40,4,1440,1710623,1187,11078
list-id-s,12,80,4,2880,3250143,1128,12776
list-id-m,12,80,4,2880,3461810,1202,13780
list-id-s,16,10,4,480,532587,1109,331
list-id-m,16,10,4,480,676567,1409,5310
list-id-s,16,20,4,960,854340,889,7498
list-id-m,16,20,4,960,1055777,1099,9316
list-id-s,16,40,4,1920,1962321,1022,13850
list-id-m,16,40,4,1920,2220555,1156,16712
list-id-s,16,80,4,3840,5021803,1307,22714
list-id-m,16,80,4,3840,4852105,1263,20544
list-none-s,1,1000,4,3000,1418141,472,31
list-none-s,1,1000,8,3000,933891,311,31
list-none-s,1,1000,16,3000,740237,246,43
list-none-m,1,1000,4,3000,1346073,448,35
list-none-m,1,1000,8,3000,913876,304,34
list-none-m,1,1000,16,3000,762671,254,42
list-none-s,2,1000,4,6000,12222145,2037,939
list-none-s,2,1000,8,6000,6747967,1124,392
list-none-s,2,1000,16,6000,4109750,684,240
list-none-m,2,1000,4,6000,10526248,1754,1451
list-none-m,2,1000,8,6000,6743351,1123,698
list-none-m,2,1000,16,6000,4518659,753,335
list-none-s,4,1000,4,12000,27995739,2332,5306
list-none-s,4,1000,8,12000,13567915,1130,1542
list-none-s,4,1000,16,12000,7272684,606,527
list-none-m,4,1000,4,12000,22714539,1892,5238
list-none-m,4,1000,8,12000,12361021,1030,2033
list-none-m,4,1000,16,12000,7706516,642,891
list-none-s,8,1000,4,24000,52599113,2191,16203
list-none-s,8,1000,8,24000,21788568,907,4639
list-none-s,8,1000,16,24000,11427385,476,1440
list-none-m,8,1000,4,24000,59331471,2472,18865
list-none-m,8,1000,8,24000,24828745,1034,5703
list-none-m,8,1000,16,24000,13773013,573,2254
list-none-s,12,1000,4,36000,102774466,2854,36412
list-none-s,12,1000,8,36000,37618537,1044,10289
list-none-s,12,1000,16,36000,17203085,477,2924
list-none-m,12,1000,4,36000,126257029,3507,46158
list-none-m,12,1000,8,36000,46446702,1290,13137
list-none-m,12,1000,16,36000,21978800,610,4388
